Hectare,Shift,Date
07H,PM,10062018
07I,AM,10122018
07I,PM,10132018
08A,PM,10142018
08B,PM,10122018
08C,AM,10072018
08D,PM,10072018
08D,AM,10072018
08E,AM,10132018
08E,PM,10082018
08F,PM,10122018
08F,AM,10142018
08G,AM,10122018
08G,PM,10172018
08H,PM,10142018
08H,AM,10172018
08I,PM,10132018
08I,AM,10062018
09A,PM,10102018
09B,AM,10102018
09C,AM,10062018
09C,PM,10062018
09D,PM,10082018
09D,AM,10082018
09E,AM,10082018
09E,PM,10142018
09F,AM,10132018
09F,PM,10142018
09G,PM,10072018
09G,AM,10072018
09H,PM,10182018
09I,PM,10102018
10A,AM,10062018
10A,PM,10142018
10B,PM,10142018
10C,AM,10182018
10D,PM,10082018
10D,AM,10082018
10E,AM,10102018
10E,PM,10072018
10F,AM,10072018
10F,PM,10192018
10G,PM,10172018
10H,PM,10072018
10I,AM,10102018
10I,PM,10132018
11A,AM,10142018
11A,PM,10132018
11B,AM,10072018
11B,PM,10142018
11C,AM,10072018
11C,PM,10182018
11D,AM,10102018
11E,PM,10122018
11E,AM,10132018
11F,AM,10132018
11G,AM,10122018
11G,PM,10132018
11H,AM,10102018
11I,AM,10122018
12A,AM,10082018
12A,PM,10132018
12B,PM,10182018
12B,AM,10072018
12C,AM,10132018
12C,PM,10172018
12D,AM,10132018
12D,PM,10142018
12E,AM,10172018
12E,PM,10182018
12F,PM,10072018
12F,AM,10202018
12G,AM,10122018
12H,AM,10072018
12I,AM,10132018
12I,PM,10172018
13A,AM,10172018
13A,PM,10142018
13B,AM,10082018
13B,PM,10082018
13C,PM,10192018
13C,AM,10102018
13D,PM,10182018
13D,AM,10142018
13E,PM,10082018
13E,AM,10172018
13F,PM,10082018
13F,AM,10072018
13G,AM,10132018
13G,PM,10082018
13H,PM,10102018
13H,AM,10132018
13I,AM,10132018
13I,PM,10082018
14A,AM,10142018
14A,PM,10142018
14B,AM,10072018
14B,PM,10142018
14C,PM,10062018
14C,AM,10072018
14D,AM,10142018
14D,PM,10192018
14E,PM,10172018
14E,AM,10082018
14F,PM,10122018
14F,AM,10072018
14G,AM,10122018
14H,PM,10122018
14H,AM,10072018
14I,PM,10182018
14I,AM,10132018
15A,PM,10172018
15B,PM,10172018
15B,AM,10142018
15C,AM,10102018
15C,PM,10172018
15D,PM,10172018
15E,AM,10132018
15E,PM,10082018
15F,PM,10102018
15F,AM,10072018
15G,AM,10082018
15G,PM,10192018
15H,AM,10132018
15H,PM,10082018
15I,AM,10082018
16A,AM,10132018
16A,PM,10192018
16B,PM,10172018
16B,AM,10142018
16C,PM,10182018
16C,AM,10142018
16D,PM,10102018
16D,AM,10072018
16E,AM,10142018
16E,PM,10182018
16F,PM,10132018
16F,AM,10082018
16G,AM,10102018
16G,PM,10172018
16H,AM,10072018
16I,AM,10082018
17A,PM,10132018
17A,AM,10172018
17B,PM,10122018
17B,AM,10102018
17C,PM,10132018
17D,PM,10082018
17D,AM,10082018
17E,PM,10182018
17E,AM,10172018
17F,PM,10202018
17F,AM,10072018
17G,AM,10182018
17G,PM,10172018
17H,PM,10072018
17H,AM,10102018
17I,PM,10172018
17I,AM,10142018
18A,PM,10182018
18A,AM,10122018
18B,PM,10182018
18B,AM,10172018
18C,PM,10182018
18C,AM,10182018
18D,PM,10172018
18E,PM,10062018
18E,AM,10122018
18G,PM,10132018
18H,PM,10142018
18H,AM,10182018
18I,AM,10172018
18I,PM,10072018
19A,PM,10132018
19A,AM,10132018
19B,AM,10192018
19C,AM,10192018
19D,AM,10072018
19D,PM,10082018
19E,PM,10182018
19E,AM,10072018
19F,PM,10172018
19F,AM,10072018
19G,AM,10182018
19G,PM,10172018
19H,AM,10102018
19I,PM,10172018
19I,AM,10172018
20A,PM,10172018
20A,AM,10102018
20B,PM,10132018
20B,AM,10072018
20C,AM,10182018
20C,PM,10182018
20D,PM,10142018
20D,AM,10072018
20E,AM,10142018
20F,PM,10072018
20F,AM,10142018
20G,AM,10182018
20G,PM,10132018
20H,PM,10132018
20H,AM,10142018
20I,PM,10182018
20I,AM,10172018
21B,PM,10172018
21C,AM,10142018
21D,PM,10082018
21E,PM,10122018
21E,AM,10172018
21F,PM,10182018
21F,AM,10182018
21G,PM,10072018
21G,AM,10142018
21H,AM,10172018
21H,PM,10182018
21I,AM,10182018
21I,PM,10132018
22A,PM,10172018
22B,AM,10132018
22B,PM,10142018
22C,AM,10132018
22D,PM,10122018
22D,AM,10082018
22E,PM,10142018
22E,AM,10182018
22F,PM,10142018
22G,AM,10182018
22G,PM,10182018
22H,AM,10182018
22H,PM,10072018
22I,PM,10132018
23A,AM,10182018
23B,PM,10122018
23B,AM,10192018
23C,PM,10142018
23C,AM,10192018
23D,AM,10132018
23E,AM,10142018
23E,PM,10062018
23F,AM,10182018
23F,PM,10132018
23G,AM,10182018
23H,PM,10192018
23H,AM,10142018
23I,AM,10192018
23I,PM,10192018
24A,AM,10142018
24B,PM,10102018
24B,AM,10132018
24C,AM,10102018
24C,PM,10172018
24I,AM,10192018
25A,AM,10132018
25B,AM,10142018
25B,PM,10072018
25I,PM,10072018
25I,AM,10122018
26A,AM,10142018
26B,AM,10102018
26B,PM,10172018
26I,PM,10102018
26I,AM,10102018
27A,AM,10082018
27A,PM,10062018
27B,AM,10142018
27C,AM,10142018
27C,PM,10122018
27I,AM,10072018
28A,PM,10072018
28A,AM,10142018
28B,AM,10072018
28B,PM,10102018
28C,AM,10142018
28C,PM,10062018
28D,PM,10192018
28D,AM,10122018
28I,PM,10072018
28I,AM,10132018
29A,PM,10192018
29A,AM,10132018
29B,PM,10102018
29B,AM,10072018
29C,PM,10062018
29C,AM,10072018
29D,AM,10142018
29D,PM,10102018
29E,AM,10172018
29E,PM,10062018
29H,PM,10062018
29H,AM,10132018
29I,PM,10072018
29I,AM,10192018
30A,AM,10102018
30A,PM,10202018
30B,PM,10192018
30B,AM,10072018
30C,PM,10082018
30C,AM,10142018
30D,PM,10072018
30D,AM,10172018
30E,AM,10082018
30E,PM,10082018
30F,PM,10072018
30F,AM,10192018
30G,AM,10132018
30G,PM,10102018
30H,AM,10072018
30I,AM,10132018
31A,AM,10102018
31A,PM,10172018
31B,PM,10072018
31B,AM,10172018
31C,AM,10172018
31C,PM,10102018
31D,PM,10062018
31D,AM,10142018
31E,AM,10142018
31E,PM,10062018
31F,PM,10072018
31F,AM,10132018
31G,PM,10072018
31G,AM,10192018
31H,AM,10132018
31H,PM,10082018
31I,AM,10122018
31I,PM,10192018
32A,AM,10182018
32A,PM,10132018
32B,AM,10172018
32B,PM,10102018
32C,AM,10142018
32C,PM,10132018
32D,PM,10062018
32E,PM,10172018
32E,AM,10072018
32F,PM,10082018
32F,AM,10122018
32G,PM,10132018
32G,AM,10102018
32H,PM,10062018
32H,AM,10102018
32I,AM,10132018
32I,PM,10072018
33A,PM,10182018
33B,PM,10102018
33B,AM,10102018
33C,PM,10072018
33C,AM,10122018
33D,PM,10062018
33D,AM,10172018
33E,AM,10142018
33E,PM,10122018
33F,PM,10122018
33F,AM,10082018
33G,PM,10062018
33G,AM,10132018
33H,AM,10192018
33H,PM,10122018
33I,PM,10062018
33I,AM,10082018
34A,AM,10122018
34A,PM,10132018
34B,PM,10072018
34C,PM,10122018
34C,AM,10072018
34D,PM,10072018
34E,PM,10062018
34E,AM,10182018
34F,AM,10072018
34F,PM,10122018
34G,PM,10062018
34G,AM,10182018
34H,PM,10062018
34H,AM,10072018
34I,PM,10102018
34I,AM,10122018
35A,AM,10142018
35A,PM,10132018
35B,PM,10132018
35B,AM,10102018
35C,AM,10072018
35C,PM,10132018
35D,AM,10192018
35D,PM,10132018
35E,PM,10062018
35E,AM,10202018
35F,PM,10122018
35F,AM,10072018
35G,AM,10072018
35G,PM,10062018
35H,AM,10132018
35H,PM,10122018
35I,PM,10062018
35I,AM,10132018
36A,AM,10182018
36A,PM,10132018
36B,AM,10132018
36B,PM,10132018
36C,PM,10132018
36C,AM,10142018
36D,PM,10072018
36D,AM,10072018
36E,AM,10132018
36E,PM,10122018
36F,PM,10122018
36F,AM,10172018
36G,AM,10182018
36G,PM,10122018
36H,PM,10082018
36H,AM,10102018
36I,AM,10172018
36I,PM,10072018
37A,AM,10122018
37B,AM,10182018
37B,PM,10132018
37C,PM,10132018
37C,AM,10122018
37D,AM,10182018
37D,PM,10142018
37E,PM,10062018
37E,AM,10132018
37F,AM,10102018
37F,PM,10142018
37G,PM,10072018
37H,PM,10062018
37H,AM,10182018
37I,AM,10102018
37I,PM,10062018
38A,AM,10192018
38A,PM,10132018
38B,AM,10192018
38B,PM,10182018
38C,AM,10192018
38C,PM,10142018
38D,PM,10062018
38D,AM,10172018
38E,AM,10102018
38E,PM,10142018
38F,AM,10182018
38F,PM,10132018
38G,PM,10202018
38G,AM,10182018
38H,PM,10122018
38H,AM,10192018
38I,AM,10192018
38I,PM,10142018
39A,PM,10142018
39A,AM,10132018
42D,AM,10142018
39B,PM,10142018
39B,AM,10182018
39C,AM,10172018
39C,PM,10062018
39D,PM,10122018
39D,AM,10082018
39E,PM,10132018
39E,AM,10182018
39F,AM,10142018
39F,PM,10062018
39G,AM,10182018
39H,PM,10132018
39H,AM,10072018
39I,AM,10192018
40A,PM,10142018
40A,AM,10102018
40B,AM,10192018
40C,AM,10172018
40D,AM,10132018
40D,PM,10132018
40E,AM,10142018
40F,AM,10182018
40F,PM,10062018
40G,AM,10072018
40H,PM,10082018
40H,AM,10172018
40I,AM,10182018
41A,PM,10072018
41A,AM,10132018
41B,PM,10142018
41C,PM,10072018
41C,AM,10172018
41D,PM,10142018
41D,AM,10142018
41E,AM,10072018
41F,PM,10192018
41F,AM,10192018
41G,PM,10142018
41G,AM,10132018
41H,PM,10082018
41H,AM,10172018
41I,AM,10182018
41I,PM,10172018
42A,PM,10142018
42A,AM,10192018
42B,PM,10082018
42C,AM,10072018
42C,PM,10132018
42D,PM,10132018
19H,PM,10082018
42E,PM,10122018
42E,AM,10082018
42F,AM,10192018
42G,AM,10182018
42H,PM,10142018
42H,AM,10192018
42I,PM,10142018
42I,AM,10192018
9I,AM,10142018
01C,AM,10122018
01D,PM,10072018
01E,PM,10072018
01I,PM,10122018
02B,PM,10132018
02B,AM,10102018
02C,PM,10132018
02F,PM,10142018
03A,AM,10122018
03B,AM,10102018
03F,PM,10132018
03H,PM,10142018
04C,AM,10062018
04F,PM,10132018
06E,AM,10142018
07C,PM,10202018
07E,PM,10132018
07H,AM,10062018
08C,PM,10132018
09B,PM,10132018
09H,AM,10062018
10B,AM,10062018
10C,PM,10132018
10G,AM,10062018
10H,AM,10142018
11D,PM,10062018
11H,PM,10132018
11I,PM,10122018
14G,PM,10132018
15A,AM,10072018
15D,AM,10072018
15I,PM,10122018
16H,PM,10142018
16I,PM,10142018
17C,AM,10182018
18D,AM,10182018
18F,PM,10082018
18F,AM,10142018
18G,AM,10142018
19B,PM,10182018
19C,PM,10182018
20E,PM,10062018
21A,AM,10192018
21A,PM,10062018
21B,AM,10192018
21C,PM,10062018
21D,AM,10082018
22A,AM,10082018
22C,PM,10062018
22F,AM,10072018
22I,AM,10072018
23A,PM,10072018
23D,PM,10072018
23G,PM,10122018
24A,PM,10072018
24I,PM,10072018
25A,PM,10072018
27B,PM,10062018
27I,PM,10202018
30H,PM,10062018
30I,PM,10062018
32D,AM,10132018
33A,AM,10082018
34B,AM,10132018
34D,AM,10082018
37A,PM,10132018
37G,AM,10142018
39G,PM,10132018
39I,PM,10132018
40B,PM,10142018
40C,PM,10062018
40E,PM,10172018
40G,PM,10132018
40I,PM,10132018
41B,AM,10102018
41E,PM,10132018
42B,AM,10142018
42F,PM,10172018
42G,PM,10142018
04G,AM,10062018
06G,AM,10082018
07F,AM,10082018
08A,AM,10132018
08B,AM,10072018
09A,AM,10132018
11F,PM,10062018
12G,PM,10072018
12H,PM,10072018
26A,PM,10062018
