Hectare,Shift,Date,Anonymized Sighter,Sighter Observed Weather Data,Litter,Litter Notes,Other Animal Sightings,Hectare Conditions,Hectare Conditions Notes,Number of sighters,Number of Squirrels,Total Time of Sighting
02D,PM,10122018,134,"61º F, sunny",None,,Humans,Busy,,1,2,35
02E,AM,10102018,167,73º F,,,"Humans, Hawks, Dogs",Calm,,1,7,20
02E,PM,10142018,177,"58º F, overcast",Some,,"Humans, Dogs",Busy,,1,5,22
02F,AM,10062018,126,"64º F, slight wind, dew point 59, misty",Some,,"Humans, Dogs",Calm,,1,5,25
02G,AM,10102018,60,"73º F, Overcast",None,,"Humans, Dogs",Busy,,1,4,20
02G,PM,10072018,119,"80º F, Humid. Party. Cloudy.",None,,"Humans, Pigeons, Mice",Calm,,1,3,22
02H,AM,10062018,116,"65º F, cloudy",,,"Humans, Pigeons, Ducks, Geese",,,1,3,22
02H,PM,10062018,196,"67º F, Cloudy, mist-rain",Some,,"Humans, Dogs",Busy,,1,2,30
02I,AM,10062018,56,"65º F, overcast",Some,,"Humans, Pigeons",Busy,,1,2,28
02I,PM,10062018,134,,,,,,,1,2,20
03A,PM,10172018,241,"60º F, mostly cloudy",None,,"Humans, Dogs, Birds",Calm,,1,8,25
03B,PM,10072018,231,"80º F, Cloudy. Humid",Some,,"Humans, Dogs",Busy,,1,11,15
03C,AM,10072018,116,"71º F, Cloudy",None,,"Humans, Dogs",Calm,,1,2,20
03C,PM,10082018,134,"62º F, overcast",Some,,"Humans, Dogs",Busy,,1,2,30
03D,AM,10062018,121,"64º F, overcast, moist",Some,,"Humans, Dogs, Pigeons, Birds",Busy,,1,8,35
03D,PM,10102018,241,"77º F, Sunny, humid",None,,"Humans, Dogs, Birds",Busy,,1,14,31
03E,AM,10062018,28,"cloudy, slight drizzle",Some,,"Humans, Dogs (off-leash)",Calm,,1,8,23
03E,PM,10082018,158,"65º F, overcast",,,Humans,Busy,,1,9,25
03F,AM,10062018,93,"66º F, overcast",None,,"Humans, Birds",Calm,,1,14,46
03G,AM,10082018,114,"67º F, overcast",Some,,"Humans, Dogs, Pigeons",Moderate,kinde (sic),1,3,20
03G,PM,10132018,224,"57° F, Cloudy to Partly Cloudy, ""Crisp""",Some,,"Humans, Dogs, Ducks, Cardinal, Small birds, Robin",Busy,,1,3,39
03H,AM,10082018,114,"67º F, overcast",,,"Humans, Dogs, Pigeons",Calm,,1,6,23
03I,PM,10132018,27,"56° F, Partly Cloudy",Some,,"Humans, Pigeons",Busy,,1,8,25
03I,AM,10102018,123,"74º F, Partly cloudy, minimal wind",None,,"Humans, Dogs, Pigeons",Busy,,1,5,20
04A,AM,10072018,110,"70º F, Foggy",None,,"Humans, Dogs, Birds, but not pigeons",Calm,,1,5,22
04A,PM,10072018,231,"80º F, Cloudy. Humid",Some,,"Humans, Dogs",Busy,,1,6,20
04B,PM,10182018,109,"48º F, Sun",None,,"Humans, Dogs",Busy,,1,5,
04B,AM,10102018,167,70º F Partly cloudy,Abundant,,"Humans, Dogs",Busy,,1,6,25
04C,PM,10102018,217,"77º F, Mostly sunny, humid",None,,"Humans, Dogs, Sparrows",Busy,,1,17,20
04D,AM,10122018,11,"60º F, partly cloudy",None,,"Humans, Dogs, Blue Jays",Busy,,1,4,25
04D,PM,10082018,134,"65º F, overcast",Some,,Humans,Calm,,1,14,65
04E,AM,10202018,145,"55º F, Cloudy",None,,"Humans, Dogs, Small birds, Dogs",Busy,,1,4,24
04E,PM,10082018,158,"65º F, overcast",None,,,,,1,8,29
04F,AM,10072018,8,"71º F, Coudy. Misty. Rain.",Some,,"Humans, Dogs",Calm,,1,0,23
04G,PM,10072018,133,"77º F, Sunny",Some,,Humans,Busy,,1,1,36
04H,PM,10062018,134,"65º F, Very Overcast",None,,Humans,Busy,,1,2,31
04H,AM,10062018,168,"64º F, overcast",Some,,"Humans, Dogs, Birds, Song birds and Crows",Busy,,1,4,45
04I,AM,10062018,34,"65º F, overcast, misty",Some,,"Humans, Dogs, Pigeons, Rat",Busy,,1,3,42
04I,PM,10072018,134,"77º F, Sunny",Some,,Humans,Busy,,1,3,31
05A,AM,10062018,61,64º F,None,,"Humans, Dogs",Busy,,1,5,50
05A,PM,10102018,241,"77º F, Mostly Sun, humid",,,"Humans, Dogs, Birds",Calm,,1,4,23
05B,AM,10082018,163,"66º F, overcast",Some,,"Humans, Dogs",Busy,,1,4,26
05B,PM,10132018,241,"55° F, Partly Cloudy",None,,"Humans, Dogs, Birds",Busy,,1,6,25
05C,AM,10062018,169,"64º F, cloudy, light rain",Some,,"Humans, Dogs, Sparrows, Starlings, American robins",Calm,,1,7,25
05C,PM,10102018,217,"77º F, Mostly sunny",None,,"Humans, Dogs",Busy,,1,13,20
05D,PM,10182018,109,"48º F, Sunny",None,,"Humans, Dogs, Sparrows, Robin",Moderate,,1,7,20
05D,AM,10202018,145,"55º F, Cloudy",None,,"Humans, Dogs, Other birds",Calm,,1,4,23
05E,PM,10122018,134,"61º F, sunny",,,Humans,Busy,,1,6,44
05E,AM,10082018,163,"66º F, overcast, misty",Some,,"Humans, Hawks, Dogs",Busy,,1,10,34
05F,AM,10072018,17,"71º F, Cloudy",Some,,"Humans, Dogs, Pigeons",Busy,,1,6,25
05F,PM,10072018,119,"80º F, Humid. Cloudy.",None,,"Humans, Dogs, Pigeons, Tourists",Busy,,1,6,22
05G,PM,10102018,151,77º F Sunny humid,,,Dogs,Busy,,1,5,20
05G,AM,10062018,230,"64º F, cloudy, misty",,,"Humans, little Birds",Busy,,1,1,20
05H,AM,10072018,17,"70º F, Cloudy",None,,"Humans, Dogs",Calm,,1,1,25
05H,PM,10062018,196,"67º F, Cloudy, misting",Abundant,,Humans,Busy,,1,0,30
05I,AM,10102018,60,74º F,None,,"Humans, Dogs",Busy,,1,6,20
05I,PM,10082018,96,"65º F, dark and damp, drizzling",None,,"Humans, Dogs, Pigeons",Calm,,1,2,25
06A,PM,10122018,115,"sunny, chilly",Some,,"Humans, Dogs, Birds",Busy,,1,7,25
06A,AM,10062018,211,"65º F, gray, misting",Some,,"Humans, Dogs",Calm,,1,8,20
06B,PM,10172018,241,"61º F, mostly cloudy",None,,"Humans, Dogs, Birds",Busy,,1,7,25
06B,AM,10122018,261,"58º F, partly sunny, breezy",None,,"Humans (Bikers, Runners), Dogs, Small birds",Busy,,1,2,22
06C,AM,10072018,34,"68º F, Overcast. Humid.",None,,"Humans, Dogs",Busy,T/V busy with cars. Lots on dogs in ball fields.,1,8,25
06C,PM,10202018,150,65º F,,,,,,1,4,25
06D,PM,10202018,150,65º F,Some,,"Humans, Dogs",Busy,,1,6,25
06D,AM,10082018,250,"66º F, cloudy",Some,,"Humans, Dogs",Calm,,1,4,21
06E,PM,10102018,195,"77º F, Mostly sunny (humid) but lovely",,,Humans,Busy,,1,5,22
06F,PM,10082018,114,"65º F, drizzly",,,"Humans, Dogs",Busy,,1,6,23
06F,AM,10062018,263,"18º C, Cloudy",Abundant,,"Humans, Dogs",Busy,,1,1,26
06G,PM,10202018,242,"61º F, Sunny. Sun starting to go down",Some,,"Humans, Horses, Birds",Busy,,1,4,24
06H,AM,10082018,6,"66º F, overcast, damp",,,"Humans, Dogs",,,1,2,30
06H,PM,10202018,242,"63º F, Perfect",None,,"Humans, Birds, Cardinal",Calm,,1,3,25
06I,AM,10062018,17,"65º F, cloudy",,,,,,1,1,23
06I,PM,10132018,256,"57° F, Cloudy",Some,,"Humans, Dogs, Pigeons",Busy,,1,7,26
07A,PM,10072018,182,"79º F, Cloudy",,,"Humans, Dogs",Calm,,1,2,22
07A,AM,10062018,227,"67º F, light drizzle",Some,,"Humans, Dogs, Robins (Birds)",Busy,,1,3,29
07B,AM,10082018,60,"67º F, misty",None,,"Humans, Dogs, Pigeons",Busy,,1,15,30
07B,PM,10062018,118,Misty,Some,,"Humans, Dogs",Busy,,1,1,22
07C,AM,10122018,261,"58º F, partly cloudy, breezy",None,,Humans (Very Few),Calm,Sheep Meadow Closed!,1,3,20
07D,PM,10102018,115,"77º F, Humid, sunny",Some,,Humans,Busy,,1,1,25
07D,AM,10062018,117,"60s, cloudy, threatening to rain, misty",None,,"Humans, Dogs",Calm,,1,0,30
07E,AM,10062018,118,"64º F, Cloudy",,,"Humans, Dogs, Pigeons",Calm,,1,6,26
07F,PM,10122018,131,"60º F, sunny",None,,"Humans, Dogs, Small birds",Calm,,1,3,25
